trial,samples,trajectory_rmse_all_coordinates,x0_rmse,x0_correlation,measured_x0_max_abs,simulated_x0_max_abs
468,251,2.1975989618272718,2.209735204219741,-0.057211478142274994,3.4149564573297777,2.373171680336492
623,251,1.3715501760704851,1.3753537862149439,0.037760311714031256,3.9929406533302827,1.4916586635335125
1086,251,1.7793858838106162,1.7846905953174321,0.1618404391506635,2.712027315720041,2.8216818434924855
4,251,0.8171805692781118,0.80495696594564,0.06278867023121631,1.8650254464014806,1.0937277776127552
2,251,1.8628024955509828,1.8988948792499907,-0.07143421842346091,2.5223519377997,2.0622762990573573
3,251,1.4746594151805905,1.4764246950099136,0.13964847534721467,3.171685087902967,2.0581608703213994
934,251,1.3957911227672897,1.3991464373563502,-0.07813052349642176,3.376705148628707,1.7227669043709921
624,251,1.4131435041499816,1.4177689923836008,-0.08270483492867974,3.941588750938818,0.7660677769099405
620,251,1.023052623313503,1.0239612414311585,-0.19689298140378247,2.5157880264696164,0.6552776592918909
776,251,1.2374154481255089,1.2409429068792144,0.03992823630325551,2.362554238822498,1.4583360454772711
1,251,0.7472530727835652,0.7481741862114302,-0.06031273787616587,1.4386345341208562,0.7015079015090823
311,251,0.9425279274901619,0.9456715186955366,-0.13418428530009785,1.8104532892947933,0.7549482432837911
