configuration_index,lowpass_hz,global_zscore_mean,global_zscore_std,stlsq_threshold,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,fit_status,fit_failure_reason,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,feature_names_json,coefficients_json,equations
11,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,1,4.0,12.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,23,60,38.333333333333336,0.369429899379611,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 432.630160149324, -726.3972469446777, 398.89236012067033, -106.20659839811518, 0.2822095082786131, 0.0, 0.0, 0.0, -0.23859881524934046, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 125.01152976940753, 0.02540887942492354, -125.07095799049353, 0.03512588032002896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.0793489678265547, 125.18406156897535, -0.1306800353527503, -124.97415469961669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 106.46091409020308, -400.13624031786685, 728.1720907814265, -433.46011005998827, -0.4331139848901576, 0.0, 0.0, 0.0, -2.6660788290194675, 6.294997339002649, 0.0, -2.6856703118030696, 0.0, -0.5381188028149331]]",(x0)' =  432.630 x0 + -726.397 x1 +  398.892 x2 + -106.207 x3 +  0.282 x0^2 + -0.239 x1^2 | (x1)' =  125.012 x0 +  0.025 x1 + -125.071 x2 +  0.035 x3 | (x2)' = -0.079 x0 +  125.184 x1 + -0.131 x2 + -124.974 x3 | (x3)' =  106.461 x0 + -400.136 x1 +  728.172 x2 + -433.460 x3 + -0.433 x0^2 + -2.666 x1^2 +  6.295 x1 x2 + -2.686 x2^2 + -0.538 x3^2
12,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,1,4.0,12.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,16,60,26.666666666666668,0.3394554853439331,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 444.44512071799636, -752.075508049636, 416.5887809085039, -109.7304050516641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 125.48852955580395, -1.225715432102217, -123.91016097157232, -0.3479807106823699, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5250150272106248, 123.28451606001505, 1.9693321543173632, -125.78231232029943, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 110.28492044110065, -418.2488417525832, 753.7969418710546, -445.059079304794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  444.445 x0 + -752.076 x1 +  416.589 x2 + -109.730 x3 | (x1)' =  125.489 x0 + -1.226 x1 + -123.910 x2 + -0.348 x3 | (x2)' =  0.525 x0 +  123.285 x1 +  1.969 x2 + -125.782 x3 | (x3)' =  110.285 x0 + -418.249 x1 +  753.797 x2 + -445.059 x3
13,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,2,8.0,24.0,0,0.0,finite_difference,success,,24,60,40.0,0.35269247740507126,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 170.15250104185316, -267.4640679705117, 130.1196082814284, -36.81274045528268, 3.8271928384791214, -4.84025976969248, 0.0, 0.0, 0.7938883696775576, 0.0, 0.448587392901529, 0.0, 0.0, 0.0], [0.0, 56.61514049623512, 32.773790580531056, -107.59701182742452, 19.274719518669748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -19.268480162092033, 107.57610965815203, -32.747548156727326, -56.62635318027149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 36.27984658812863, -128.66579971864397, 266.0429915724695, -169.5841579829003, 0.0, 0.0, 0.02289942321762962, 0.0, 0.0, 0.0, 0.0, 1.063965756066547, 0.4878383687688473, -1.811120828499736]]",(x0)' =  170.153 x0 + -267.464 x1 +  130.120 x2 + -36.813 x3 +  3.827 x0^2 + -4.840 x0 x1 +  0.794 x1^2 +  0.449 x1 x3 | (x1)' =  56.615 x0 +  32.774 x1 + -107.597 x2 +  19.275 x3 | (x2)' = -19.268 x0 +  107.576 x1 + -32.748 x2 + -56.626 x3 | (x3)' =  36.280 x0 + -128.666 x1 +  266.043 x2 + -169.584 x3 +  0.023 x0 x2 +  1.064 x2^2 +  0.488 x2 x3 + -1.811 x3^2
14,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,2,8.0,24.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,22,60,36.666666666666664,0.35635523311793804,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 170.22987776834614, -267.6815819101717, 130.16091483717136, -36.700714354305035, 0.0, 0.0, 0.0, 0.0, 0.12947926526158493, 0.0, -0.010789098377598014, 0.0, 0.0, 0.0], [0.0, 56.41094846748904, 33.06426682753209, -107.66413786237669, 19.222495553251434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -19.214369409292548, 107.63857750902042, -33.03258059248576, -56.42477242618194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 36.576610410381434, -130.00357409162172, 268.12414650438603, -170.7349592092891, 0.0, 0.0, -0.011108454422076974, 0.0, 0.0, 0.0, 0.0, 0.9783063258277289, 0.6874247655186586, -1.8821898866163755]]",(x0)' =  170.230 x0 + -267.682 x1 +  130.161 x2 + -36.701 x3 +  0.129 x1^2 + -0.011 x1 x3 | (x1)' =  56.411 x0 +  33.064 x1 + -107.664 x2 +  19.222 x3 | (x2)' = -19.214 x0 +  107.639 x1 + -33.033 x2 + -56.425 x3 | (x3)' =  36.577 x0 + -130.004 x1 +  268.124 x2 + -170.735 x3 + -0.011 x0 x2 +  0.978 x2^2 +  0.687 x2 x3 + -1.882 x3^2
15,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,2,8.0,24.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,20,60,33.333333333333336,0.3221363890916109,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 179.78687732480702, -284.6391154763779, 140.29468018101917, -38.48159736219772, 0.0, 0.0, 0.0, 0.0, 0.1134880086463962, 0.0, -0.04515245484075132, 0.0, 0.0, 0.0], [0.0, 54.6567437048351, 35.579102828024176, -108.22092225278905, 18.744043909444372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -18.7365560525173, 108.15528510887232, -35.44208447177253, -54.7405376499808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 38.43535212609736, -140.0899733146304, 284.35831007086676, -179.67765572954332, 0.0, 0.0, 0.25159470900334835, 0.0, 0.0, 0.0, 0.0, -0.24562956589168763, 0.0, 0.0]]",(x0)' =  179.787 x0 + -284.639 x1 +  140.295 x2 + -38.482 x3 +  0.113 x1^2 + -0.045 x1 x3 | (x1)' =  54.657 x0 +  35.579 x1 + -108.221 x2 +  18.744 x3 | (x2)' = -18.737 x0 +  108.155 x1 + -35.442 x2 + -54.741 x3 | (x3)' =  38.435 x0 + -140.090 x1 +  284.358 x2 + -179.678 x3 +  0.252 x0 x2 + -0.246 x2^2
16,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,5,20.0,60.0,0,0.0,finite_difference,success,,26,60,43.333333333333336,0.3646653350442648,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 21.043112818848186, -46.70924517179205, 14.522003909626912, 3.8747112424375625, 0.0, 3.3124178136664955, 0.0, 0.0, 0.0, -2.7608148313412646, 0.0, 0.0, 0.0, 0.0], [0.0, 35.50919145288567, 0.0, -40.647138895259346, 7.577035692714985, 2.7615857392369927, -6.679659330020084, 0.0, 0.0, 0.0, 3.772757656277174, 0.0, 0.0, 0.0, 0.0], [0.0, -8.265132225090055, 41.295133740569106, 0.0, -35.26945613134977, 0.0, 0.0, 0.0, 0.0, 3.6114081232681285, -7.502964658413295, 0.0, 0.0, 3.8599001383072182, 0.0], [0.0, -3.5152130619079003, -15.504843849689431, 47.421622991007716, -21.13632743762939, 0.0, 0.0, 0.0, 0.0, -3.487672799998486, 5.254560578312262, 0.0, 3.0225066805165524, -5.633804343857843, 0.0]]",(x0)' =  21.043 x0 + -46.709 x1 +  14.522 x2 +  3.875 x3 +  3.312 x0 x1 + -2.761 x1 x2 | (x1)' =  35.509 x0 + -40.647 x2 +  7.577 x3 +  2.762 x0^2 + -6.680 x0 x1 +  3.773 x1 x2 | (x2)' = -8.265 x0 +  41.295 x1 + -35.269 x3 +  3.611 x1^2 + -7.503 x1 x2 +  3.860 x2 x3 | (x3)' = -3.515 x0 + -15.505 x1 +  47.422 x2 + -21.136 x3 + -3.488 x1^2 +  5.255 x1 x2 +  3.023 x2^2 + -5.634 x2 x3
17,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,25,60,41.666666666666664,0.37339920550584793,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 21.38694677052118, -47.219478350754926, 14.922918902652297, 3.663413356088369, 0.0, 3.3321419412368205, 0.0, 0.0, 0.0, -2.786405397882081, 0.0, 0.0, 0.0, 0.0], [0.0, 35.575055682511014, 0.0, -40.853835811303775, 7.746160859809501, 2.7192650916552896, -6.605733094976946, 0.0, 0.0, 0.0, 3.74379405945136, 0.0, 0.0, 0.0, 0.0], [0.0, -7.930034979500424, 40.820071418492006, 0.0, -35.2741004212618, 0.0, 0.0, 0.0, 0.0, 0.0, -3.703068294457766, 0.0, 0.0, 3.6505766019760353, 0.0], [0.0, -3.3045514221743524, -15.887001470344059, 47.90718858324142, -21.47505560301908, 0.0, 0.0, 0.0, 0.0, -3.5077221943014862, 5.2911918514348555, 0.0, 2.9846872587302484, -5.599654741659045, 0.0]]",(x0)' =  21.387 x0 + -47.219 x1 +  14.923 x2 +  3.663 x3 +  3.332 x0 x1 + -2.786 x1 x2 | (x1)' =  35.575 x0 + -40.854 x2 +  7.746 x3 +  2.719 x0^2 + -6.606 x0 x1 +  3.744 x1 x2 | (x2)' = -7.930 x0 +  40.820 x1 + -35.274 x3 + -3.703 x1 x2 +  3.651 x2 x3 | (x3)' = -3.305 x0 + -15.887 x1 +  47.907 x2 + -21.475 x3 + -3.508 x1^2 +  5.291 x1 x2 +  2.985 x2^2 + -5.600 x2 x3
18,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,success,,23,60,38.333333333333336,0.3643869087100029,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x2^2"", ""x2 x3"", ""x3^2""]","[[0.0, 25.11928879278712, -52.411509334156364, 19.045783172965027, 1.321511985510175, 0.0, 3.3769780080960694, 0.0, 0.0, 0.0, -2.902732988453003, 0.0, 0.0, 0.0, 0.0], [0.0, 35.640189609573646, 0.0, -42.40888923186548, 9.303443758097458, 0.0, -3.2761867705826715, 0.0, 0.0, 0.0, 3.1440739822697044, 0.0, 0.0, 0.0, 0.0], [0.0, -9.33282688694333, 42.257352001563675, 0.0, -35.614197341500315, 0.0, 2.630981906412154, 0.0, 0.0, 0.0, -4.953988877238241, 0.0, 0.0, 2.922223083293726, 0.0], [0.0, 0.0, -20.187427047731198, 52.54828391073361, -25.265744041997706, 0.0, 0.0, 0.0, 0.0, -3.7415137616244247, 7.118378234662247, 0.0, 0.0, -3.6533170457743185, 0.0]]",(x0)' =  25.119 x0 + -52.412 x1 +  19.046 x2 +  1.322 x3 +  3.377 x0 x1 + -2.903 x1 x2 | (x1)' =  35.640 x0 + -42.409 x2 +  9.303 x3 + -3.276 x0 x1 +  3.144 x1 x2 | (x2)' = -9.333 x0 +  42.257 x1 + -35.614 x3 +  2.631 x0 x1 + -4.954 x1 x2 +  2.922 x2 x3 | (x3)' = -20.187 x1 +  52.548 x2 + -25.266 x3 + -3.742 x1^2 +  7.118 x1 x2 + -3.653 x2 x3
19,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,6,1,4.0,20.0,0,0.0,finite_difference,success,,34,168,20.238095238095237,0.7810994945466518,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x0 x4"", ""x0 x5"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x1 x4"", ""x1 x5"", ""x2^2"", ""x2 x3"", ""x2 x4"", ""x2 x5"", ""x3^2"", ""x3 x4"", ""x3 x5"", ""x4^2"", ""x4 x5"", ""x5^2""]","[[0.0, 601.2207961132359, -1416.4437135189912, 1586.7711319366706, -1175.634770987122, 497.60303149270584, -93.80955397082174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 125.26176431979908, -1.180744047357044, -122.60958601051982, -2.610743714650491, 1.4907131954900679, -0.35067839456282357, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.055641058117218166, 125.11741336123892, 0.0, -125.15986323820016, 0.12677442362539218, -0.028478843519761515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.008992510773043213, -0.02693394810881247, 125.07086238792532, 0.0, -125.06256498203052, 0.02760308560072109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.0942352248952201, 0.4137979013184091, -0.9147952485833213, 126.12598296277251, -0.7004433303778204, -124.83084810000055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 93.34292868503023, -495.56006450620856, 1171.782837115555, -1582.865614394723, 1414.317243147989, -600.7242560699926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  601.221 x0 + -1416.444 x1 +  1586.771 x2 + -1175.635 x3 +  497.603 x4 + -93.810 x5 | (x1)' =  125.262 x0 + -1.181 x1 + -122.610 x2 + -2.611 x3 +  1.491 x4 + -0.351 x5 | (x2)' = -0.056 x0 +  125.117 x1 + -125.160 x3 +  0.127 x4 + -0.028 x5 | (x3)' = -0.009 x0 + -0.027 x1 +  125.071 x2 + -125.063 x4 +  0.028 x5 | (x4)' = -0.094 x0 +  0.414 x1 + -0.915 x2 +  126.126 x3 + -0.700 x4 + -124.831 x5 | (x5)' =  93.343 x0 + -495.560 x1 +  1171.783 x2 + -1582.866 x3 +  1414.317 x4 + -600.724 x5
20,35.0,-0.0007537510658310451,36.85636440218341,1000.0,2,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,success,,34,168,20.238095238095237,0.7944430727511644,"[""1"", ""x0"", ""x1"", ""x2"", ""x3"", ""x4"", ""x5"", ""x0^2"", ""x0 x1"", ""x0 x2"", ""x0 x3"", ""x0 x4"", ""x0 x5"", ""x1^2"", ""x1 x2"", ""x1 x3"", ""x1 x4"", ""x1 x5"", ""x2^2"", ""x2 x3"", ""x2 x4"", ""x2 x5"", ""x3^2"", ""x3 x4"", ""x3 x5"", ""x4^2"", ""x4 x5"", ""x5^2""]","[[0.0, 606.9524257314253, -1438.566932472907, 1622.6636538942807, -1206.1364398024716, 511.0804816384265, -96.26292632821671, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 125.29110417686375, -1.3778430738654972, -122.08819851202804, -3.2865949653453987, 1.9242688545059154, -0.4621227729606792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.07500154866566981, 125.15938088224937, 0.0, -125.22450504008586, 0.18405839116857908, -0.04372846548866565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.010945583150693577, -0.0966473067826778, 125.14558513567283, 0.0, -125.10788154816525, 0.04815254314230289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -0.12267475854235646, 0.6009609733400606, -1.412350660040891, 126.78313183090415, -1.1316680660776188, -124.7177308357746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 95.64792528396912, -508.38586371766024, 1201.061626621328, -1617.5352100158307, 1435.789256181016, -606.3079648373409, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",(x0)' =  606.952 x0 + -1438.567 x1 +  1622.664 x2 + -1206.136 x3 +  511.080 x4 + -96.263 x5 | (x1)' =  125.291 x0 + -1.378 x1 + -122.088 x2 + -3.287 x3 +  1.924 x4 + -0.462 x5 | (x2)' = -0.075 x0 +  125.159 x1 + -125.225 x3 +  0.184 x4 + -0.044 x5 | (x3)' =  0.011 x0 + -0.097 x1 +  125.146 x2 + -125.108 x4 +  0.048 x5 | (x4)' = -0.123 x0 +  0.601 x1 + -1.412 x2 +  126.783 x3 + -1.132 x4 + -124.718 x5 | (x5)' =  95.648 x0 + -508.386 x1 +  1201.062 x2 + -1617.535 x3 +  1435.789 x4 + -606.308 x5
