case,unbias,degree,n_delays,threshold,nonzero_terms,max_real_eigenvalue,frequencies,n_completed,n_trials,psd_similarity,x0_correlation,collapse_std_ratio,x0_rmse
nd2,True,3,2,50000.0,6,-1.1417796799737245,5.26,9,9,0.1342267913684038,0.014257970842271747,0.018532612391758886,38.88683871570914
nd2,False,3,2,50000.0,6,-1.0727681043733996,4.77,9,9,0.12968140695906846,0.021552508421785365,0.023597756946258527,39.07443358644723
nd4,True,3,4,20000.0,74,0.8079872784504258,5.66;20.67,8,9,0.11607241546517194,0.028924739988596043,1.384896793977659,56.44088650512639
nd4,False,3,4,20000.0,74,0.15102370749995178,2.28;11.37,3,9,0.45026327295864926,-0.05029165742363653,0.4806070826077202,41.89877754471809
nd6,True,3,6,20000.0,152,0.37539653663783434,5.02;18.04;29.65,9,9,0.13918400225286762,-0.025057838890135496,1.2250758483543671,54.19209944641079
nd6,False,3,6,20000.0,152,0.6560304422665318,1.64;11.48,9,9,0.42217147272970584,-0.030317149997127993,0.6355698828482128,41.45527187063452
nd8,True,3,8,50000.0,62,0.109843990609899,3.48;11.95;20.3;26.29,8,9,0.22794028456393525,0.043941793981794666,1.0385263003927157,49.62355476883252
nd8,False,3,8,50000.0,62,0.06005970773309972,0.18;4.22;10.71;15.62,3,9,0.1991785102786513,-0.006406363461167207,0.513505361018074,46.405419604161146
