-3.2680011,3.8048878,9.4034739,3.3071024
-10.359211,15.444407,1.1563301,5.9414349
6.1829047,-7.1444516,15.716669,-13.578944
-5.1805291,-0.30915725,-1.8197759,-3.9831855
-11.992716,2.8261383,-1.3146046,-26.063505
8.7530127,0.56799042,-2.5955114,-6.5667772
-0.30871078,-0.55704778,0.3246907,-1.7537621
6.5316582,-5.6993279,-3.4810061,7.9816403
8.4185543,4.8074708,-5.5903802,-8.3382044
7.9724703,4.6550426,3.8369875,-2.9843776
-0.56327969,-10.174023,6.4612827,-10.047331
0.13166203,6.4305458,-12.594723,-4.1789684
-19.150606,12.174905,-10.030132,-4.2778034
-16.396427,-6.9545255,-9.7687445,6.4504404
-7.6995697,-6.8913336,-14.146895,26.237616
