configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
96,4,failed,integration failed: Unexpected istate in LSODA.,14.048,4.588,224.51484887301922,26318,1148,2.0371970047265764,1148,2.239150811475336,1.697704923501471
96,1088,failed,integration error: simulation exceeded 1800 wall-clock seconds,14.16,3.5357243619742182,1800.000774718821,223754,0,,0,,
96,622,failed,integration failed: Unexpected istate in LSODA.,14.156,2.564,103.34789103642106,12796,642,3.3130465690477777,642,3.6112759122568776,3.0419418135801353
96,620,failed,integration failed: Unexpected istate in LSODA.,14.156,5.184,240.67011123523116,30126,1297,2.0671608525880334,1297,2.3233991866074466,1.885182409288789
