0.79298216,-3.8355649,5.5900421,10.620584,-3.9775918,-4.4490533,8.743804,2.6093254,9.0574522,7.0107155,-7.7893701,12.278116,1.1310363,-0.2451589,7.0974779,8.0624437
-7.6069336,4.5738115,-13.166099,-14.86525,-9.6145248,4.2568393,-7.3222466,3.6380961,-4.202919,-9.0902939,-5.2619667,14.008503,-4.5185819,7.0519199,3.1254554,-5.8236675
-0.090509862,8.493844,-0.70731705,-0.21063454,-1.0730815,17.580641,-10.833486,-6.339818,-2.7146919,8.4501295,-4.4401116,3.8513765,0.063021548,18.659451,6.8091846,12.88482
-14.928537,6.7117796,-3.9978709,-9.6751432,3.2721536,13.762115,-11.755144,-6.5381427,-11.811381,-5.0349913,3.4092562,-20.001867,-0.18655734,2.8364015,-15.997157,1.387378
17.396065,-15.219983,-2.7850049,-2.685261,-5.8769364,27.374012,2.1268899,15.823119,4.5752535,-12.2911,0.60964602,-7.0124063,-3.2446146,-14.543598,9.2556171,-4.893065
0.2874727,-7.0167022,20.679138,9.2045507,-5.4761124,-1.885797,-16.838844,1.3655431,0.57040018,6.2155814,-7.6456895,3.3116255,-7.5629268,12.372746,-15.97041,-26.78438
-1.5685636,-6.4107304,-15.51397,2.207706,4.9120984,-4.4243712,14.292439,8.9546022,-14.378781,-9.1134377,-3.1093202,-8.8948298,5.8524985,10.919715,-6.5891161,-3.8252542
-9.0910625,-8.5176735,-7.1326623,4.6244192,2.3668439,-14.158126,-13.60628,6.1267242,-6.8704281,3.2672226,31.157471,-19.607338,19.53265,-14.636797,-7.881618,1.4655707
0.4060902,10.538831,2.8055665,-9.5139208,-26.423704,-17.127712,-21.473787,3.1840966,-15.733218,1.2112324,-6.6568551,-4.3694677,-6.8450484,-3.8614514,4.2107625,5.8878403
5.4294324,3.0593619,-11.642734,-4.1519604,1.53722,-5.991231,1.4163401,-1.7046829,10.939068,10.600861,-8.6186333,6.6557107,1.5924898,13.314147,4.422574,4.2111425
7.7512922,9.8473539,1.1175565,5.029273,-10.716237,9.5066881,0.34279349,3.1824856,8.2425194,8.9571514,-4.4593639,-23.273476,-10.144937,8.0955572,-11.315434,2.094487
-3.0742352,6.7862978,4.3246121,2.1098607,10.570445,2.5332026,-12.611015,-3.3846524,0.16277751,4.9331851,-15.064923,-4.175952,3.4141257,2.8634458,-5.9407835,-11.278236
-1.5478584,7.7291713,10.89475,0.30925095,-4.3715944,1.8970557,21.969656,-12.878249,-12.454333,-1.0541327,5.2241836,-5.1208014,-8.0129223,6.5200629,7.5464296,20.342245
-7.746891,-16.12089,21.305105,-0.37276873,-1.8393471,-2.0123515,-6.9608593,-14.714046,-1.8804194,7.189805,-8.2726736,-0.077599414,1.1932681,-10.755519,-2.3613179,-9.2371416
1.1767263,-21.154585,21.107492,-20.539766,11.040371,-5.4731274,12.158254,10.832309,7.3307238,5.8218532,-9.1039486,6.9126587,22.436819,0.95413494,-12.690021,-1.5346407
-4.4912987,-18.302017,0.5948137,-2.7951393,8.41436,-6.2784166,-9.1350393,-4.4830956,10.407945,6.7570682,-6.6058908,-2.709681,11.530581,-6.1187139,-8.7522154,-0.71470398
3.209713,-1.554024,-8.8540335,-15.951588,8.0940027,-4.7294006,18.532108,-11.684942,10.670853,-6.2636919,23.022392,2.9648714,-16.932592,14.271781,-9.5808172,-12.827368
-1.2816823,-9.287816,3.0146804,-7.3583612,4.9480882,10.987329,-6.9853239,11.058854,11.523227,6.7049332,-1.9683845,0.7048412,20.984367,-10.988017,9.1394911,39.856083
7.3091221,-0.42922005,-10.831588,24.938805,13.966384,2.0479934,-7.1953487,8.1625872,11.65503,-17.150316,-16.784554,-2.4240532,9.3841305,7.5491576,-3.2862794,8.9965086
-8.2778397,-2.6687939,3.4452803,6.406569,6.7053962,0.98724806,-3.0546243,11.520406,-5.5420799,11.96872,-14.413349,-17.942654,-10.492589,16.43453,-6.4501576,-6.3145404
-4.8187704,0.77968627,17.779358,-3.808862,4.1327024,12.235762,3.1994908,-7.2985716,1.3788049,-2.1023583,-2.4294434,-19.490082,8.6415586,8.3528929,15.614744,20.137794
7.2368565,1.9037387,0.66651338,12.522234,2.0331304,-10.757405,-6.6390629,13.852111,-6.5212016,12.342978,-5.9614472,-12.590882,-4.5546699,12.165962,-5.8487597,4.7952118
2.0305173,10.202086,-4.6506281,0.80318302,-1.5425309,9.1106424,3.3977332,-23.202669,-19.725109,-9.4298296,-3.8092442,-5.7826195,-23.053532,-5.0982218,5.0869923,-8.8933458
11.357847,-1.0009714,23.267147,10.176704,7.8914399,-0.50769097,1.4019595,-1.115613,-25.986729,2.3600581,11.856889,8.4284792,7.4012504,-9.746664,18.677761,8.0441761
-3.1637123,-7.680222,-4.2228837,2.8610446,-2.3253362,-19.491604,13.234223,6.9640942,-0.082557827,12.65635,5.946044,12.769372,0.71665502,-22.574631,3.0258968,4.6587791
7.0818925,-8.3902597,-12.660657,0.62515283,-2.0056067,23.925943,6.3540292,5.3585362,-0.4974637,-4.4742017,-4.7044668,-16.758501,9.2567234,-5.6057377,0.13845336,-0.66601956
-14.114593,-4.149776,4.5707345,17.729933,-0.99718958,7.7689147,-6.9807281,7.1195526,-8.8064318,-8.6311235,-7.0319018,-6.8608875,4.0505524,5.8440776,11.768323,1.049129
-5.9780626,10.458274,-15.555425,-4.2079263,4.5365095,8.2931604,2.7696545,-2.6451199,-0.74086064,6.8867259,9.2643576,-1.0512904,-0.20517722,0.45933643,19.664644,-8.893609
7.6165171,13.113818,-16.040554,-3.3257003,-12.194154,4.3365388,-1.0134295,-7.1763902,2.9382327,6.7724547,1.9199321,6.3432446,5.5553503,6.7383509,12.633501,0.87468916
13.891075,-9.1878309,-15.981032,10.420433,-1.9935197,6.2880931,-15.731141,-3.8896093,-11.743105,-1.9563602,-9.3709965,12.274227,-7.469954,-4.8725424,11.973132,3.5215859
-4.3252954,-5.0182862,20.530964,11.741071,-1.803599,-2.4072094,10.577387,5.7699108,-2.2250223,-10.51295,-4.3252382,-2.14627,-3.393378,-2.6606464,4.0613036,-4.1778469
