trial,samples,trajectory_rmse_all_coordinates,x0_rmse,x0_correlation,measured_x0_max_abs,simulated_x0_max_abs
468,251,2.1975989624992627,2.209735204990604,-0.05721147830185285,3.4149564573297777,2.3731717660947793
623,251,1.3715501715547245,1.3753537835989822,0.03776031218738539,3.9929406533302827,1.4916586635334408
1086,251,1.7793858886999674,1.784690599636664,0.16184043893058878,2.712027315720041,2.8216819392758787
4,251,0.8171805720365772,0.8049569675530062,0.06278867028945356,1.8650254464014806,1.093727802758093
2,251,1.8628024951669824,1.8988948793011573,-0.07143421864758874,2.5223519377997,2.062276259296151
3,251,1.4746594176015762,1.4764246965365426,0.13964847485218487,3.171685087902967,2.0581609307223196
934,251,1.3957910918597165,1.3991464229842638,-0.0781305367036482,3.376705148628707,1.722766748273039
624,251,1.4131435026186918,1.4177689916705452,-0.08270483736938632,3.941588750938818,0.766067752990479
620,251,1.0230526252703938,1.0239612437115218,-0.19689298087327134,2.5157880264696164,0.6552776663685674
776,251,1.2374154498033088,1.2409429091487418,0.03992823493203544,2.362554238822498,1.4583361033361708
1,251,0.7472530721834021,0.7481741854452822,-0.06031273735560335,1.4386345341208562,0.7015078883978547
311,251,0.9425279212780427,0.9456715128163504,-0.13418428716314962,1.8104532892947933,0.7549482051111488
