configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
92,4,success,,14.068,14.068,422.9008623473346,55058,3518,30.49044859103106,3518,40.764978583195145,40.702590941299995
92,1088,success,,14.18,14.18,365.1435397416353,48379,3546,55.7834527438318,3546,71.97941312657669,71.98430644994264
92,622,success,,14.176,14.176,687.3534412775189,91277,3545,33.07960112853929,3545,49.81773965735913,49.80150508858051
92,620,success,,14.176,14.176,323.28460482507944,42840,3545,35.08210498350936,3545,53.47356037025807,53.42579885206329
