configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
198,4,success,,14.028,14.028,0.018723707646131516,4,3508,13.35779680537679,3508,30.828788330034925,29.62019014901177
198,1088,success,,14.14,14.14,0.018868310377001762,4,3536,12.74371191161231,3536,47.47968518755136,52.76139144764021
198,622,success,,14.136000000000001,14.136000000000001,0.020335765555500984,4,3535,29.72735708827734,3535,48.436707632928496,48.31637930251105
198,620,success,,14.136000000000001,14.136000000000001,0.018633056432008743,4,3535,31.598326408226793,3535,51.38340334467534,43.63765909000127
