configuration_index,test_trial_id,simulation_status,failure_reason,requested_duration_s,reached_duration_s,simulation_runtime_s,rhs_evaluations,simulated_samples,simulated_x0_rms_uv,compared_samples,x0_rmse_uv,trajectory_rmse_uv
19,4,success,,14.068,14.068,46.3754748031497,58236,3518,27.00781498750885,3518,38.13721134318755,38.11771601175489
19,1088,success,,14.18,14.18,35.55991235002875,44808,3546,54.67272111556232,3546,67.89421721864562,67.89022116265213
19,622,success,,14.176,14.176,71.26906025782228,91127,3545,34.04990332966343,3545,51.15438999263841,51.16492498576685
19,620,success,,14.176,14.176,36.07538438774645,49134,3545,30.63060729379649,3545,49.72558443490806,49.71798519806863
