dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,train_mse,test_mse,train_rmse,test_rmse,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,6,1,2,80.0,zscore,0.2,2,0,38,12,0.004,0.9745228907017335,0.9739767945311302,136.0332460657876,112.03888903918136,11.66332911589944,10.5848424191946,64,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.05,2,0,38,12,0.004,0.974523074520382,0.973976732289683,136.03226507252148,112.03915695356584,11.66328706122427,10.58485507475496,135,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,2,0,38,12,0.004,0.97452304173967,0.9739767236364988,136.03243999923018,112.03919422348982,11.663294560253126,10.584856835285484,109,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9741225682237982,0.9735407159913945,138.17065059981616,113.91641599619312,11.754601252267818,10.67316335470385,24,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.974122545965793,0.9735406973660664,138.17076938361456,113.91649619670385,11.754606304917854,10.673167111813806,20,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.974122545965793,0.9735406973660664,138.17076938361456,113.91649619670385,11.754606304917854,10.673167111813806,20,3517,3516,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,2,0,38,12,0.004,0.9472925706639876,0.9458490733185417,281.45618894734116,233.21453921898802,16.77665607167713,15.271363371323073,34,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,2,0,38,12,0.004,0.9472926973713552,0.9458490129500766,281.4555126710959,233.21479910024706,16.776635916389672,15.271371880097972,50,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,2,0,38,12,0.004,0.9472926825837992,0.9458490002397406,281.45559159186894,233.21485381085037,16.77663826849315,15.271373671377777,44,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9465567476023,0.9451412006965413,285.38538857456535,236.2632009611056,16.89335338452864,15.370855570237644,16,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.9465567226763834,0.945141173586191,285.3855216114913,236.26331767775224,16.893357322080515,15.370859366923902,12,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.9465567226763834,0.945141173586191,285.3855216114913,236.26331767775224,16.893357322080515,15.370859366923902,12,3519,3518,ok,
fixation_only,0,2,1,2,80.0,zscore,0.05,2,0,38,12,0.004,0.8280696930332069,0.8240038833194322,918.1268656391542,758.0326220857189,30.300608337773586,27.532392233253525,12,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,2,0,38,12,0.004,0.8280696930332069,0.8240038833194322,918.1268656391542,758.0326220857189,30.300608337773586,27.532392233253525,12,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,2,0,38,12,0.004,0.8280696930332069,0.8240038833194322,918.1268656391542,758.0326220857189,30.300608337773586,27.532392233253525,12,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,925.822869215988,763.1131222876805,30.427337530845318,27.624502208866687,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,925.822869215988,763.1131222876805,30.427337530845318,27.624502208866687,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,925.822869215988,763.1131222876805,30.427337530845318,27.624502208866687,4,3521,3520,ok,
fixation_only,0,6,2,2,80.0,zscore,0.05,2,0,38,12,0.004,0.756255433661281,0.7547673845121258,1300.184180150154,1055.4669858846767,36.058066783317074,32.48795139562784,168,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.1,2,0,38,12,0.004,0.7562553164939559,0.7547671228210123,1300.1848050759895,1055.4681108216948,36.05807544886429,32.48796870876502,164,3512,3511,ok,
