channel,excluded_fixation_trials,included_non_fixation_trials,n_delays,delay_samples_after_downsample,downsample,dt,train_trials,test_trials,min_train_embedded_samples,min_test_embedded_samples,threshold,degree,smooth_window,train_score_r2,test_score_r2,nonzero_terms
0,50,50,2,5,10,0.02,38,12,60,60,0.05,2,9,-0.06231514081009948,-0.09128077500953913,6
0,50,50,4,5,10,0.02,38,12,50,50,0.05,2,9,-0.03607267899917749,-0.08943032487577068,19
0,50,50,6,5,10,0.02,38,12,40,40,0.05,2,9,-0.0334315376153809,-0.07946411844031727,40
0,50,50,8,5,10,0.02,38,12,30,30,0.05,2,9,-0.024688042325544557,-0.07542349731164225,65
0,50,50,10,5,10,0.02,38,12,20,20,0.05,2,9,-0.016284764173792578,-0.09443850976545934,107
0,50,50,12,5,10,0.02,38,12,10,10,0.05,2,9,-0.0024993848943059838,-0.11016003806754295,157
