source,trial_type,channel,random_seed,train_trials,test_trials,train_trial_ids,test_trial_ids,downsample,lowpass_hz,normalize,window_start,window_end,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,threshold,smooth_window,dt,train_score_r2,test_score_r2,test_derivative_rmse,nonzero_terms,jacobian_max_real,jacobian_eigenvalues,dynamic_status,rejection_reason,simulated_test_trials,trajectory_rmse,x0_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,autocorrelation_similarity,distribution_ks,equations,error
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.01,0,0.004,0.9570501802006304,0.9550925459266516,11.703332523197572,4,0.005532401115002904,0.0055324+56.3287j;0.0055324-56.3287j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2635361184491347,1.2640435921481374,0.020238966814392412,0.44502797711944253,0.9350237789982061,0.2532790616383162,0.292772812137986,0.21357285429141715,(x0)' =  232.579 x0 + -239.304 x1 | (x1)' =  239.292 x0 + -232.568 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.05,0,0.004,0.9570501802006304,0.9550925459266516,11.703332523197572,4,0.005532401115002904,0.0055324+56.3287j;0.0055324-56.3287j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2635361184491347,1.2640435921481374,0.020238966814392412,0.44502797711944253,0.9350237789982061,0.2532790616383162,0.292772812137986,0.21357285429141715,(x0)' =  232.579 x0 + -239.304 x1 | (x1)' =  239.292 x0 + -232.568 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.1,0,0.004,0.9570501802006304,0.9550925459266516,11.703332523197572,4,0.005532401115002904,0.0055324+56.3287j;0.0055324-56.3287j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2635361184491347,1.2640435921481374,0.020238966814392412,0.44502797711944253,0.9350237789982061,0.2532790616383162,0.292772812137986,0.21357285429141715,(x0)' =  232.579 x0 + -239.304 x1 | (x1)' =  239.292 x0 + -232.568 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.2,0,0.004,0.9570501802006304,0.9550925459266516,11.703332523197572,4,0.005532401115002904,0.0055324+56.3287j;0.0055324-56.3287j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2635361184491347,1.2640435921481374,0.020238966814392412,0.44502797711944253,0.9350237789982061,0.2532790616383162,0.292772812137986,0.21357285429141715,(x0)' =  232.579 x0 + -239.304 x1 | (x1)' =  239.292 x0 + -232.568 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.01,0,0.004,0.8392576949088729,0.8321384426211574,22.625495241663074,4,-5.864180252375293e-05,-5.86418e-05+52.7568j;-5.86418e-05-52.7568j,rejected,PSD similarity below threshold,9,1.2425907168442916,1.2445855022462746,0.05650465989019404,0.4360921884570361,0.9191087895741449,0.24119462566649869,0.22113405262134678,0.2031492570414726,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.05,0,0.004,0.8392576949088729,0.8321384426211574,22.625495241663074,4,-5.864180252375293e-05,-5.86418e-05+52.7568j;-5.86418e-05-52.7568j,rejected,PSD similarity below threshold,9,1.2425907168442916,1.2445855022462746,0.05650465989019404,0.4360921884570361,0.9191087895741449,0.24119462566649869,0.22113405262134678,0.2031492570414726,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.1,0,0.004,0.8392576949088729,0.8321384426211574,22.625495241663074,4,-5.864180252375293e-05,-5.86418e-05+52.7568j;-5.86418e-05-52.7568j,rejected,PSD similarity below threshold,9,1.2425907168442916,1.2445855022462746,0.05650465989019404,0.4360921884570361,0.9191087895741449,0.24119462566649869,0.22113405262134678,0.2031492570414726,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.2,0,0.004,0.8392576949088729,0.8321384426211574,22.625495241663074,4,-5.864180252375293e-05,-5.86418e-05+52.7568j;-5.86418e-05-52.7568j,rejected,PSD similarity below threshold,9,1.2425907168442916,1.2445855022462746,0.05650465989019404,0.4360921884570361,0.9191087895741449,0.24119462566649869,0.22113405262134678,0.2031492570414726,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.01,0,0.004,0.30380987226591477,0.2834117143037655,46.751724390910695,5,-0.013525750741647543,-0.0135258+31.7356j;-0.0135258-31.7356j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.301748468989537,1.303379814947664,0.03254671216052539,0.46594917763092464,0.9827056835235063,0.15444392759726297,0.17280903448825136,0.21712131292969616,(x0)' =  20.538 x0 + -37.800 x1 | (x1)' = -0.012 1 +  37.818 x0 + -20.565 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,5,20.0,20.0,0.05,0,0.004,0.3038098503919297,0.28341175826235965,46.7517229573101,4,-0.013526937037155759,-0.0135269+31.7356j;-0.0135269-31.7356j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3017142361159226,1.3033428404907275,0.03251798559574428,0.4658882773024322,0.9826548264690234,0.15444396052014342,0.17280953509491825,0.2173430915945886,(x0)' =  20.538 x0 + -37.800 x1 | (x1)' =  37.818 x0 + -20.565 x1,
