channel,included_fixation_trials,n_delays,delay_samples_after_downsample,downsample,dt,train_trials,test_trials,min_train_embedded_samples,min_test_embedded_samples,threshold,degree,smooth_window,train_score_r2,test_score_r2,nonzero_terms
0,50,2,5,10,0.02,38,12,700,700,0.05,2,9,-0.1774210341962693,-0.11780536109901485,6
0,50,4,5,10,0.02,38,12,690,690,0.05,2,9,-0.26562631794793673,-0.1767920749443418,19
0,50,6,5,10,0.02,38,12,680,680,0.05,2,9,-0.30139030079136914,-0.19880904607095515,37
0,50,8,5,10,0.02,38,12,670,670,0.05,2,9,-0.3216429454173422,-0.21210369384506023,58
0,50,10,5,10,0.02,38,12,660,660,0.05,2,9,-0.3333644258068401,-0.21996211979839808,93
0,50,12,5,10,0.02,38,12,650,650,0.05,2,9,-0.3397312652617077,-0.22206473725561368,124
