source,trial_type,channel,random_seed,train_trials,test_trials,train_trial_ids,test_trial_ids,downsample,lowpass_hz,normalize,window_start,window_end,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,threshold,smooth_window,dt,train_score_r2,test_score_r2,test_derivative_rmse,nonzero_terms,jacobian_max_real,jacobian_eigenvalues,dynamic_status,rejection_reason,simulated_test_trials,trajectory_rmse,x0_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,autocorrelation_similarity,distribution_ks,equations,error
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.1,5,0.004,0.9568678298918117,0.9549144911256378,11.648857747485733,4,0.006001382768534125,0.00600138+56.0452j;0.00600138-56.0452j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3347969388420133,1.3349864348774796,-0.004429109684067604,0.4007522771276195,0.9023387872383951,0.2363002675966713,0.24429440848962736,0.20712620712620713,(x0)' =  232.868 x0 + -239.517 x1 | (x1)' =  239.505 x0 + -232.856 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.1,9,0.004,0.9358757248328269,0.9339857601266409,13.176994566724206,4,0.02150634630383297,0.0215063+53.273j;0.0215063-53.273j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.374269601714668,1.37464787666615,0.012201580733217579,0.44335829976589824,0.9827536073178406,0.21207026800682124,0.18478198936648108,0.21323121323121325,(x0)' =  235.358 x0 + -241.311 x1 | (x1)' =  241.271 x0 + -235.315 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.2,0,0.004,0.9570501802006305,0.9550925459266516,11.703332523197584,4,0.005532401203808268,0.0055324+56.3287j;0.0055324-56.3287j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3221392759553117,1.322318769490825,0.0069964264148205295,0.3988729164502802,0.8985985220971736,0.24097409054634925,0.2495451756316895,0.2072372072372072,(x0)' =  232.579 x0 + -239.304 x1 | (x1)' =  239.292 x0 + -232.568 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.2,5,0.004,0.9568678298918117,0.9549144911256378,11.648857747485733,4,0.006001382768534125,0.00600138+56.0452j;0.00600138-56.0452j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3347969388420133,1.3349864348774796,-0.004429109684067604,0.4007522771276195,0.9023387872383951,0.2363002675966713,0.24429440848962736,0.20712620712620713,(x0)' =  232.868 x0 + -239.517 x1 | (x1)' =  239.505 x0 + -232.856 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,1,4.0,4.0,0.2,9,0.004,0.9358757248328269,0.9339857601266409,13.176994566724206,4,0.02150634630383297,0.0215063+53.273j;0.0215063-53.273j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.374269601714668,1.37464787666615,0.012201580733217579,0.44335829976589824,0.9827536073178406,0.21207026800682124,0.18478198936648108,0.21323121323121325,(x0)' =  235.358 x0 + -241.311 x1 | (x1)' =  241.271 x0 + -235.315 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.001,0,0.004,0.8392576960253121,0.8321384499553572,22.625494747231706,5,-5.894165155817532e-05,-5.89417e-05+52.7568j;-5.89417e-05-52.7568j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2947687655128084,1.2957479292528296,0.02903139800971316,0.38675390789377995,0.8735017462710428,0.20971453152596503,0.1743350562728512,0.1996891996891997,(x0)' = -0.003 1 +  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.001,5,0.004,0.8407704586506565,0.8336189661793257,22.376220270901445,6,0.000474632866342084,0.000474633+52.5558j;0.000474633-52.5558j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3000450975799653,1.3012434104588442,0.024869524721425527,0.38873417095890045,0.8791793190749789,0.20849796803438647,0.17050883801840244,0.20046620046620045,(x0)' = -0.003 1 +  105.495 x0 + -117.863 x1 | (x1)' =  0.001 1 +  117.860 x0 + -105.494 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.001,9,0.004,0.8390920210592103,0.83180111550499,21.034195199199715,6,0.0119896956363168,0.0119897+50.4716j;0.0119897-50.4716j,rejected,PSD similarity below threshold,9,1.361323926724291,1.362556748884436,-0.0005743525064663852,0.42091260280692677,0.940326430186518,0.1881911077649674,0.14663376364451072,0.2041292041292041,(x0)' = -0.005 1 +  107.985 x0 + -119.198 x1 | (x1)' =  0.004 1 +  119.176 x0 + -107.961 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.01,0,0.004,0.8392576949088728,0.832138442621157,22.625495241663106,4,-5.864189133797382e-05,-5.86419e-05+52.7568j;-5.86419e-05-52.7568j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.2947870457945574,1.2957661682944723,0.029031692652884713,0.38673552760967495,0.87352864473536,0.20971453391497355,0.174335059731595,0.1996891996891997,(x0)' =  105.213 x0 + -117.700 x1 | (x1)' =  117.698 x0 + -105.213 x1,
lfp,fixation,0,0,28,9,1398 1 0 776 934 775 311 1086 310 156 930 621 777 158 467 931 313 932 314 157 155 469 779 465 933 1087 466 1085,4 1088 622 620 2 3 1244 778 312,2,35.0,zscore,,,1,2,2,8.0,8.0,0.01,5,0.004,0.840770457102777,0.8336189536581402,22.37622111297056,4,0.00047508361689407863,0.000475084+52.5558j;0.000475084-52.5558j,rejected,PSD similarity below threshold; autocorrelation similarity below threshold,9,1.3000706445592554,1.3012690837623628,0.0248686269970833,0.388727025513457,0.8792177249938589,0.20849796421772265,0.17050891338523116,0.20046620046620045,(x0)' =  105.495 x0 + -117.863 x1 | (x1)' =  117.860 x0 + -105.494 x1,
