source,trial_type,channel,random_seed,train_trials,test_trials,train_trial_ids,test_trial_ids,downsample,lowpass_hz,normalize,window_start,window_end,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,threshold,smooth_window,dt,train_score_r2,test_score_r2,test_derivative_rmse,nonzero_terms,jacobian_max_real,jacobian_eigenvalues,dynamic_status,rejection_reason,simulated_test_trials,trajectory_rmse,x0_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,autocorrelation_similarity,distribution_ks,equations,error
lfp,fixation,0,0,9,3,4 155 312 0 3 156 311 158 1,310 2 157,2,50.0,zscore,,,1,2,1,4.0,4.0,0.05,0,0.004,0.9198690891596764,0.9255432337107508,14.761825290210101,4,-0.01970233043380224,-0.0197023+54.4864j;-0.0197023-54.4864j,viable,,3,1.6247066463364996,1.6259832317740337,-0.16321802378471512,0.7223060511266013,1.5471762112268073,0.7448430085986096,0.5712903988438349,0.4052287581699346,(x0)' =  223.466 x0 + -230.014 x1 | (x1)' =  230.050 x0 + -223.505 x1,
lfp,fixation,0,0,9,3,4 155 312 0 3 156 311 158 1,310 2 157,2,80.0,zscore,,,1,2,1,4.0,4.0,0.05,0,0.004,0.8187539256392019,0.83285638139484,24.108040796306536,4,-0.15247397193716744,-0.152474+56.6939j;-0.152474-56.6939j,viable,,3,1.6589298201831086,1.6613200676596698,-0.19824148839241587,0.6954041371563825,1.5340770088748574,0.7138732596384547,0.5523520965041463,0.3986928104575163,(x0)' =  196.753 x0 + -204.759 x1 | (x1)' =  205.050 x0 + -197.058 x1,
